file_name,file_size_bytes,global_entropy,md5,sha256,architecture,elf_type,os_abi,abi_version,endianness,entry_point,program_headers,load_segments,rwx_segments,has_interp,has_dynamic,has_gnu_stack,has_relro,num_libraries,is_statically_linked,num_uncommon_libraries,num_imported_functions,num_exported_functions,import_export_ratio,num_dynamic_symbols,num_static_symbols,is_stripped,num_suspicious_imports,has_debug_info,num_sections,section_headers_present,num_nonstandard_sections,num_executable_sections,text_size_ratio,max_section_entropy,mean_section_entropy,has_packer_signature,overlay_size_bytes,has_overlay,entropy_variance,entropy_high_ratio,num_strings,avg_string_len,max_string_len,num_ip_strings,num_url_strings,num_suspicious_strings,num_high_entropy_strings
rctest,34820,5.7914,98e41b44bb2f03fc105d18cf078a8cf3,f60cc4e57c7bb4623402564bb8b522233064db4c308221ed36446f799992d620,MIPS,EXEC,SYSTEMV,1,LSB,4201168,9,2,0,True,True,True,False,2,0,0,56,38,1.4737,99,0,1,8,0,30,1,9,5,0.621252,5.7465,2.8938,0,1202,1,1.3616,0.0,448,7.69,39,0,0,0,0
readelf,889708,6.38,309236df02b78ca46579a691d5ea942c,a93ba9c7a9d3cb9f57f2ca797152cb6de8a8b4aa29fdba2d8519c7b12cb7e67e,MIPS,EXEC,SYSTEMV,1,LSB,4208736,10,2,0,True,True,True,False,7,0,4,94,75,1.2533,219,0,1,1,0,34,1,13,5,0.662671,6.0835,2.842,0,1188,1,0.7657,0.0012,15942,9.83,190,0,1,1,3
readlink-coreutils,52180,5.4472,f77478506d947db8ddffe30a50a5f71c,669eb7ce724a3b5fc4dc2e032c28eb56e80d9132fd60fd02d1954150d807683d,MIPS,EXEC,SYSTEMV,1,LSB,4201472,10,2,0,True,True,True,False,2,0,0,81,4,20.25,97,0,1,2,0,34,1,13,5,0.620928,5.6105,2.5991,0,1361,1,1.3969,0.0,412,8.09,39,0,4,5,0
readproctitle,4120,4.0647,ad298e45d6c3a92476fb0a1004f6d3d9,5cc07eebcab4b3861eb3ffb8aa33c4d0ecde68197b97f76cd1118a3a5d7ac319,MIPS,EXEC,SYSTEMV,1,LSB,4195872,10,2,0,True,True,True,False,2,0,0,5,2,2.5,10,0,1,0,0,31,1,10,4,0.190291,5.3905,2.314,0,1240,1,1.6659,0.0,49,8.47,17,0,0,0,0
realpath-coreutils,53156,5.4327,beee8bd2a7d2be6792352f9fc3df7c43,59efb9221013ff0429c67ddedc759bf8a44c28be8845ec250bc8024039856ef5,MIPS,EXEC,SYSTEMV,1,LSB,4201840,10,2,0,True,True,True,False,2,0,0,81,4,20.25,97,0,1,2,0,34,1,13,5,0.630898,5.6087,2.6005,0,1361,1,1.4086,0.0,409,8.03,39,0,4,5,0
replicator,37380,5.4594,b7fbaed685de5c81a8216886b83f0927,9a8010f47282898f64828eff0ce052f2688093f0e636e4eeb8ad63608b7681cb,MIPS,DYN,SYSTEMV,0,LSB,9968,11,2,0,True,True,True,True,3,0,2,110,47,2.3404,177,0,1,14,0,32,1,13,4,0.489246,5.7111,2.6386,0,1282,1,1.9177,0.0,472,12.6,45,0,0,0,0
rfcomm,16252,5.5673,c0e3a80dabcd8d989d18790ac12bf5fe,f5e0767ec1f395d430908926d2aecbbc8518b0fb8f17bc6ec124cc93311ba09d,MIPS,EXEC,SYSTEMV,1,LSB,4198400,9,2,0,True,True,True,False,2,0,0,47,4,11.75,57,0,1,8,0,30,1,9,5,0.488309,5.8908,2.8065,0,1202,1,1.6847,0.0,290,7.02,35,0,0,0,0
rmdir-coreutils,39396,5.3827,995669c16cf532acfb3c3932fe531e70,7801de3c0ba4a3c3b5c9bc21ecef7987618ae4eb138f4bb26a833c1558cbb688,MIPS,EXEC,SYSTEMV,1,LSB,4200848,10,2,0,True,True,True,False,1,0,0,60,3,20.0,75,0,1,2,0,34,1,13,5,0.587674,5.5965,2.5817,0,1361,1,1.447,0.0,351,7.89,39,0,4,4,0
rmt,52056,5.5286,b897cd05e99991e47e6fe26f1d583d6d,5828c968b3c54e9ad00b9c0d37b037953a9bba02eff7de14e67452dfdde1fbb7,MIPS,EXEC,SYSTEMV,1,LSB,4201264,10,2,0,True,True,True,False,2,0,0,61,7,8.7143,82,0,1,2,0,33,1,12,4,0.716459,5.6214,2.6033,0,1321,1,1.1254,0.0,421,7.65,33,0,3,3,0
rotatelogs,16024,5.4697,019d77595b03948da74a686fe5659bb4,00843e6a33dd3c63d19829efadfcbe5e199979420a07e876ca4a1016b555afc9,MIPS,EXEC,SYSTEMV,1,LSB,4200656,10,2,0,True,True,True,False,9,0,4,46,2,23.0,52,0,1,2,0,33,1,12,5,0.363455,5.7261,2.3903,0,0,0,1.5389,0.0,448,7.56,74,0,0,0,0
rss,13924,5.2624,a705e168722feaf6e0ee5e288b0e19f0,79c2de18b320417086d677aa251e138eeb0b30f9aeaf70a7fdd9bcc32c1ae2fe,MIPS,DYN,SYSTEMV,0,LSB,8560,10,2,0,True,True,True,False,13,0,9,57,5,11.4,68,0,1,3,0,30,1,11,4,0.425165,5.559,2.5604,0,1201,1,1.6506,0.0,221,9.28,29,0,0,0,0
run_erl,22864,5.1826,25585cd9f89e3a2c2ceec21f85fa20cb,9465e8512b331244720b44733a37b637e418e6134c03a4c21aca5098b0d42877,MIPS,EXEC,SYSTEMV,1,LSB,4201616,12,2,0,True,True,True,True,3,0,2,65,2,32.5,72,0,1,6,0,33,1,11,4,0.408677,5.7676,2.7117,0,0,0,3.0628,0.0,360,7.46,28,0,0,1,0
script,14500,4.4532,0da5b7838954be01ec643c96675c35f1,80dcab1d1f0856ff4177e6b220b313eef2868b247ac196deb2bb7534436d0c38,MIPS,DYN,SYSTEMV,0,LSB,5120,11,2,0,True,True,True,True,3,0,2,50,6,8.3333,74,0,1,4,0,30,1,11,4,0.288,5.5359,2.6117,0,1201,1,3.2243,0.0,205,9.94,32,0,0,0,0
script-login,14264,4.1121,8e503192d84cc945fc17f9653ac48c5a,4ff92e57cabd2383cae26526f18a7cce65221baa69abf483db2c4747ff316872,MIPS,DYN,SYSTEMV,0,LSB,5248,11,2,0,True,True,True,True,4,0,3,52,6,8.6667,74,0,1,6,0,30,1,11,4,0.241167,5.4145,2.5232,0,1201,1,3.5279,0.0,183,10.27,36,0,0,0,0
serial,12156,5.4452,027ed3570a1f92fdb3f4f3a0a688e01f,21b99b49a4e68aa42b570bc66d74fbf99b6358554f8f28062b8cd0a3b01bc949,MIPS,EXEC,SYSTEMV,1,LSB,4202176,10,2,0,True,True,True,False,13,0,8,37,2,18.5,43,0,1,1,0,32,1,11,4,0.438302,5.9013,2.4588,0,1283,1,1.9541,0.0,224,7.52,21,0,0,0,0
setfattr,13496,5.1423,ea77043db52d1ef6d83f2f55e301f346,5f6dda9017234805169d0a0afbb5e9a0a600ab3fc8cc1de6a5c72e4bf0e95dd9,MIPS,EXEC,SYSTEMV,1,LSB,4197744,10,2,0,True,True,True,False,3,0,1,32,2,16.0,41,0,1,3,0,34,1,13,5,0.46473,5.6493,2.5598,0,1361,1,1.6719,0.0,177,7.32,17,0,0,0,0
setlock,15324,5.0243,a2eb23d14d344f27de5b4e26b146ea0d,e17584cf1fa50486d4e5f5c306b7d3ac60aeb4f961adcc0cc9a8160d401f9fdc,MIPS,EXEC,SYSTEMV,1,LSB,4196544,10,2,0,True,True,True,False,2,0,0,12,2,6.0,20,0,1,1,0,32,1,11,4,0.488645,5.4975,2.385,0,320,1,1.771,0.0,339,6.34,17,0,0,0,0
setuidgid,15368,5.0743,800eb5a1990f2b2e05798792e46ba37f,dfcd34daf69be93cd23da819ed4acf17c9e626e2aeb5f0a9efc4a5da31608118,MIPS,EXEC,SYSTEMV,1,LSB,4196656,10,2,0,True,True,True,False,2,0,0,15,2,7.5,23,0,1,3,0,33,1,12,4,0.488287,5.4893,2.3868,0,364,1,1.757,0.0,341,6.45,17,0,0,0,0
setuser,15500,5.1937,41611c7c2de63ac23d43c8c7b10bab18,707e2fb8b2998a79809300af44605a5c0224e753176ecd224ce488c0f8824484,MIPS,EXEC,SYSTEMV,1,LSB,4196832,10,2,0,True,True,True,False,2,0,0,17,2,8.5,25,0,1,3,0,32,1,11,4,0.514065,5.464,2.4021,0,432,1,1.2747,0.0,346,6.36,17,0,0,0,0
sha1sum-coreutils,55380,5.6123,eefd2231a7829507102240dcf521d1dd,fc102aba80bd480ddf11864c2cc1296f68970006f26bf0f45cb4200139a2632c,MIPS,EXEC,SYSTEMV,1,LSB,4205024,10,2,0,True,True,True,False,2,0,0,66,5,13.2,84,0,1,2,0,34,1,13,5,0.626941,5.8561,2.5703,0,1361,1,1.6236,0.0,561,7.34,39,0,4,4,0
sha224sum,61268,5.7842,8e700e02a3f5c5cf7dfc28ca2693211b,2c136dbdb10367a7759746b68b7c34501aa03470cf55ed9f3a1fe79d605235fb,MIPS,EXEC,SYSTEMV,1,LSB,4205024,10,2,0,True,True,True,False,2,0,0,66,5,13.2,84,0,1,2,0,34,1,13,5,0.674806,5.966,2.5847,0,1361,1,1.4068,0.0,580,7.23,39,0,4,4,0
sha256sum-coreutils,61268,5.7841,5e4ef08393c0c37faea3434629e03edb,3d3abcf3ab112a17fc2481d67f4afe2fdd1c3229158fc527b9c0e4d95e12494a,MIPS,EXEC,SYSTEMV,1,LSB,4205024,10,2,0,True,True,True,False,2,0,0,66,5,13.2,84,0,1,2,0,34,1,13,5,0.674806,5.9658,2.5844,0,1361,1,1.4057,0.0,580,7.24,39,0,4,4,0
sha384sum,111476,6.1685,eb36dd0087122a04443a71bd4b3eaffd,35e50b2bec9464cc2941ca752030bb2b84a67fb4232ab257f41079cb5dbaf421,MIPS,EXEC,SYSTEMV,1,LSB,4205040,10,2,0,True,True,True,False,2,0,0,66,5,13.2,84,0,1,2,0,34,1,13,5,0.820553,6.249,2.6174,0,1361,1,1.0608,0.0,634,7.01,39,0,4,4,0
shuf-coreutils,61764,5.5059,054fcdeadba28486f3fc3cb30d441961,84231f253a56449fa98c8109916fdfe3070b3b1f62538f8059a9a9b563590ed0,MIPS,EXEC,SYSTEMV,1,LSB,4204400,10,2,0,True,True,True,False,2,0,0,88,5,17.6,106,0,1,2,0,34,1,13,5,0.653585,5.6613,2.6064,0,1361,1,1.4051,0.0,456,7.73,39,0,4,4,0
size,28416,5.5891,8787025068a4b599ac61146e558c20c1,5e1e0dc112078e3ab8d7eeca349234550e386f6a42f556dd243101f8eba8d4dc,MIPS,EXEC,SYSTEMV,1,LSB,4200816,10,2,0,True,True,True,False,7,0,4,71,17,4.1765,103,0,1,3,0,33,1,12,5,0.530405,5.7293,2.6082,0,1322,1,1.4726,0.0,385,8.49,187,0,1,1,0
sleep-coreutils,38516,5.3649,40fab6d138256d78d7dd4209c82b43d5,4f2ba403601134cf4c8c4531cf15e4f87070290d4c820c568d82db3cc5041dfd,MIPS,EXEC,SYSTEMV,1,LSB,4200832,10,2,0,True,True,True,False,2,0,0,63,4,15.75,79,0,1,2,0,34,1,13,5,0.576592,5.6368,2.5738,0,1361,1,1.5891,0.0,342,7.75,39,0,4,4,0
smtpp,58372,5.5663,3095a66fa8b478ef509b4a4083c23824,b07a04b697898ba7c48ceb96666620a6040214570e9869f4afd6747cc7dc62b0,MIPS,EXEC,SYSTEMV,1,LSB,4206240,10,2,0,True,True,True,False,4,0,0,77,38,2.0263,136,0,1,11,0,32,1,11,5,0.658124,5.8572,2.7235,0,1280,1,2.2845,0.0,503,7.92,64,0,1,1,1
snmp,23452,5.4845,e502359ed39291479c90ce51a1dc107d,5c27f26be6110aba146d52b60ddaf1ab966c6a3a507e884944a74094ed79647a,MIPS,DYN,SYSTEMV,0,LSB,5616,10,2,0,True,True,True,False,13,0,9,82,6,13.6667,94,0,1,3,0,30,1,11,4,0.528057,5.7234,2.6327,0,1201,1,1.6166,0.0,339,8.38,25,0,0,0,0
socket,35700,5.5927,8e056fb0581821cb8fb64fa65908b934,90c7bd3915bc53910c810ecf16450b13d69c3288d51be27350f64b8aa00104f8,MIPS,DYN,SYSTEMV,0,LSB,8880,10,2,0,True,True,True,False,13,0,9,70,11,6.3636,87,0,1,1,0,31,1,12,4,0.530196,5.9749,2.6864,0,0,0,2.4344,0.0,515,9.63,35,0,0,0,0
socks,58056,5.6128,373e87a6ad2c0bb4ae28bbe04f624ff1,f2336803b1e5233075a36d62f2f85925b307de8f8f93a1e86cb3f2bf700c4a98,MIPS,EXEC,SYSTEMV,1,LSB,4206144,10,2,0,True,True,True,False,4,0,0,78,35,2.2286,133,0,1,11,0,32,1,11,5,0.680722,5.8787,2.7257,0,1280,1,2.0095,0.0,471,7.84,37,1,1,1,0
softlimit,15964,5.3242,3de1d1e4ed02a5e2fe34d524262a6852,34d14bc34ceb3d652a68a23daba19be7abdaa55a3b155c6645fc0a748d6591c1,MIPS,EXEC,SYSTEMV,1,LSB,4196816,10,2,0,True,True,True,False,2,0,0,13,2,6.5,21,0,1,1,0,32,1,11,4,0.508143,5.5249,2.4252,0,336,1,1.2886,0.0,368,6.88,22,0,0,0,0
stat-coreutils,103892,5.8168,96aadac1ec8ce631c7cdafda149ead53,49f8cafff3a9ef7344805d0a1d0139f61499d2fe0c11a1c4f29f7c636f33c489,MIPS,EXEC,SYSTEMV,1,LSB,4202944,10,2,0,True,True,True,False,2,0,0,101,5,20.2,118,0,1,4,0,34,1,13,5,0.694105,5.8635,2.626,0,1361,1,1.1155,0.0,1201,6.58,39,0,4,6,0
stereorize,20180,5.4453,6b2c63e06861a931c1a3ecbb75be5122,8ff3496c6be05c86fd8591ec5d40ab1aff127f53d2f21948e19785ff4e7ecb45,MIPS,EXEC,SYSTEMV,1,LSB,4198672,10,2,0,True,True,True,False,5,0,1,32,3,10.6667,41,0,1,0,0,34,1,13,5,0.520912,5.5988,2.6243,0,1361,1,1.3756,0.0,423,6.55,17,0,0,0,0
stty-coreutils,78036,5.6954,65368a9e2465d679742673462220ad06,eaf207475ab84e67ec9bf6bb5761b1ccbe1bdb12e532d0e04382f775a84d9313,MIPS,EXEC,SYSTEMV,1,LSB,4203040,10,2,0,True,True,True,False,1,0,0,66,3,22.0,81,0,1,2,0,34,1,13,5,0.614486,5.718,2.5707,0,1361,1,1.1511,0.0,1230,6.71,39,0,4,4,0
submission,91188,5.749,047acbaf53325baa1f1e71476fd9d57a,f3c44fca1ed84eabbafdf20e404673d89c9248814ceae9466c096d29d319b957,MIPS,EXEC,SYSTEMV,1,LSB,4215952,10,2,0,True,True,True,False,4,0,3,246,85,2.8941,368,0,1,42,0,35,1,14,5,0.514103,5.8106,2.6787,0,1400,1,1.4213,0.0,1279,13.2,46,0,0,0,0
submission-login,26404,5.4111,aa52768be085b8e49ac573e13518b775,63a3315b376ff94b3e7bc00b198f7e860e3707e57d89a108dffbfa3e1a7b8666,MIPS,EXEC,SYSTEMV,1,LSB,4202288,10,2,0,True,True,True,False,4,0,3,97,16,6.0625,134,0,1,14,0,33,1,12,4,0.392668,5.7626,2.4587,0,1322,1,1.8842,0.0,397,12.26,43,0,0,0,0
suexec,11116,5.2963,97944ef5a0b64914a9f80bb393d7e2cc,c9795f8a02d22a2cd36fb18e1b9c1429836d53072cb381c0018049765ee796be,MIPS,EXEC,SYSTEMV,1,LSB,4199264,10,2,0,True,True,True,False,2,0,0,36,2,18.0,45,0,1,3,0,32,1,11,4,0.280677,5.599,2.4918,0,1283,1,1.6993,0.0,285,8.56,33,0,0,0,0
supervise,25032,5.2353,4b466ec12590233171743fd50a81a36a,6c46027e2515f1ce3b6bf2982b6e4be9c8804bf3a928bddae5f89a59458fd44f,MIPS,EXEC,SYSTEMV,1,LSB,4198496,10,2,0,True,True,True,False,2,0,0,39,2,19.5,47,0,1,3,0,33,1,12,4,0.542026,5.6367,2.479,0,1321,1,1.68,0.0,436,6.24,17,0,0,0,0
svc,16008,5.2182,c09a4fc61133094feccac98a80a78c4e,0880dfe50abea21aaf51fb0d159c3be954e63ef42f57b34808e5ed88804ff9bc,MIPS,EXEC,SYSTEMV,1,LSB,4197184,10,2,0,True,True,True,False,2,0,0,18,2,9.0,26,0,1,0,0,33,1,12,4,0.488756,5.5175,2.3827,0,472,1,1.3668,0.0,383,6.37,19,0,0,0,0
svok,15228,4.6234,81e0fe2dc6911b0ef356d5b4f77768a1,61f58a442dddf29cf06c7c607c9698fc45a174f2a162656af7e8166d8b1b0813,MIPS,EXEC,SYSTEMV,1,LSB,4196416,10,2,0,True,True,True,False,2,0,0,12,2,6.0,20,0,1,0,0,32,1,11,4,0.413974,5.3658,2.3941,0,288,1,2.5489,0.0,329,6.39,17,0,0,0,0
svscan,19688,4.9024,742e4e745dd2dbe23be776eabafd2c33,3883a63da576399a0953c00020237b5d0ea08ebd515a4d2cd7a95bd538905f37,MIPS,EXEC,SYSTEMV,1,LSB,4197296,10,2,0,True,True,True,False,2,0,0,27,2,13.5,35,0,1,3,0,33,1,12,4,0.482731,5.5545,2.3988,0,0,0,2.5632,0.0,373,6.34,17,0,0,0,0
svstat,19788,4.8669,bbaf8439f8881a198a866aefabb7c419,74cbfc07649c5ca6302fdde9b7e6465a6a68bcaff53e532fb75cf993fbda571c,MIPS,EXEC,SYSTEMV,1,LSB,4196768,10,2,0,True,True,True,False,2,0,0,19,2,9.5,27,0,1,0,0,32,1,11,4,0.468971,5.5911,2.4096,0,0,0,2.73,0.0,383,6.37,17,0,0,0,0
