round_number,accuracy,precision,recall,f1_score,loss,auc_roc,num_clients,mean_weight,std_weight
1,0.564217,0.577622,0.792594,0.658272,0.884157,0.477710,3,0.035930,0.385266
2,0.564217,0.577622,0.792594,0.658272,0.800300,0.535293,3,0.038785,0.381854
3,0.579178,0.569930,0.762873,0.643523,0.732153,0.579873,3,0.041288,0.379162
4,0.579178,0.569930,0.762873,0.643523,0.677305,0.609594,3,0.043502,0.377070
5,0.579178,0.569930,0.762873,0.643523,0.632277,0.650459,3,0.045472,0.375478
