filename,status,instruction_count,unique_instructions,size,reason
dropbearconvert.asm,VALID,6434,57,95943,
dropbearkey.asm,VALID,29448,64,439941,
du.asm,VALID,62756,70,944931,
dump_router6.asm,VALID,5923,52,90825,
dumpe2fs.asm,VALID,5671,49,86027,
e2freefrag.asm,VALID,888,39,13512,
e2fsck.asm,VALID,52012,69,797125,
ead.asm,VALID,32710,92,463523,
eapol_test.asm,VALID,105280,65,1586752,
ebtables-restore.asm,VALID,509,29,7763,
ebtables.asm,VALID,180,25,2608,
echo.asm,VALID,62756,70,944931,
egrep.asm,VALID,62756,70,944931,
elfedit.asm,VALID,3780,41,57616,
env.asm,VALID,62756,70,944931,
esi.asm,VALID,402,28,5817,
exploit6.asm,VALID,7361,54,113163,
expr.asm,VALID,62756,70,944931,
f2fstat.asm,VALID,781,32,11983,
fake_advertise6.asm,VALID,6593,53,101302,
fake_dhcps6.asm,VALID,6635,52,102282,
fake_dns6d.asm,VALID,6104,51,93691,
fake_dnsupdate6.asm,VALID,5961,51,91405,
fake_mipv6.asm,VALID,5956,52,91481,
fake_mld26.asm,VALID,6300,51,96857,
fake_mld6.asm,VALID,6231,51,95703,
fake_mldrouter6.asm,VALID,6036,51,92614,
fake_router26.asm,VALID,8053,53,123881,
fake_router6.asm,VALID,6642,53,102077,
fake_solicitate6.asm,VALID,6410,52,98296,
false.asm,VALID,62756,70,944931,
fconfig.asm,VALID,1550,39,23448,
fdisk.asm,VALID,10740,55,163208,
fgrep.asm,VALID,62756,70,944931,
fibmap.f2fs.asm,VALID,542,34,8101,
filefrag.asm,VALID,1666,51,26014,
find.asm,VALID,62756,70,944931,
findfs.asm,VALID,370,26,5469,
findmnt.asm,VALID,4834,50,73961,
flock.asm,VALID,1902,46,28634,
flood_advertise6.asm,VALID,6033,51,92629,
flood_dhcpc6.asm,VALID,6505,51,99969,
flood_mld26.asm,VALID,6026,51,92525,
flood_mld6.asm,VALID,5973,51,91596,
flood_mldrouter6.asm,VALID,5926,51,90881,
flood_router26.asm,VALID,6883,52,105900,
flood_router6.asm,VALID,6467,53,99335,
flood_solicitate6.asm,VALID,6136,51,94211,
fragmentation6.asm,VALID,9384,52,143917,
free.asm,VALID,62756,70,944931,
fsck.ext2.asm,VALID,52012,69,797125,
fsck.ext3.asm,VALID,52012,69,797125,
fsck.ext4.asm,VALID,52012,69,797125,
fsck.f2fs.asm,VALID,18971,61,296909,
fsync.asm,VALID,62756,70,944931,
fusermount.asm,VALID,2606,40,38638,
fuzz_dhcpc6.asm,VALID,7750,54,119087,
fuzz_dhcps6.asm,VALID,7541,54,116132,
fuzz_ip6.asm,VALID,8585,55,132397,
fw3.asm,VALID,16564,53,245475,
gdb.asm,VALID,613926,222,8872775,
gdbserver.asm,VALID,36424,64,545533,
genl.asm,VALID,2110,42,32507,
getopt.asm,VALID,1066,31,16234,
getrandom.asm,VALID,285,28,4086,
gprof.asm,VALID,18853,54,286338,
grep.asm,VALID,62756,70,944931,
gunzip.asm,VALID,62756,70,944931,
gzip.asm,VALID,62756,70,944931,
halt.asm,VALID,62756,70,944931,
head.asm,VALID,62756,70,944931,
helgrind-mips32-linux.asm,VALID,186837,70,3009949,
hexdump.asm,VALID,62756,70,944931,
hostapd-mini_2016-12-19-ad02e79d-7_mipsel_mips32_hostapd.asm,VALID,60511,63,910381,
hostapd.asm,VALID,167323,67,2518063,
hostapd_2016-12-19-ad02e79d-7_mipsel_mips32_hostapd.asm,VALID,104448,67,1573405,
hostapd_cli.asm,VALID,4317,49,64248,
hwclock.asm,VALID,62756,70,944931,
hwclock_2.29.2-1_mipsel_mips32_hwclock.asm,VALID,4821,53,73725,
iconv.asm,VALID,3496,48,54578,
id.asm,VALID,62756,70,944931,
ifconfig.asm,VALID,62756,70,944931,
iftop.asm,VALID,7422,55,113042,
igmpproxy.asm,VALID,4589,52,68944,
ilmid.asm,VALID,8249,54,123749,
ilmidiag.asm,VALID,294,27,4266,
implementation6.asm,VALID,10443,52,162305,
implementation6d.asm,VALID,6124,51,94180,
insmod.asm,VALID,2056,41,30323,
inverse_lookup6.asm,VALID,5932,51,91010,
ip-tiny_4.4.0-10-cake-legacy_mipsel_mips32_ip.asm,VALID,25019,57,384672,
ip.asm,VALID,35752,57,550180,
iperf.asm,VALID,10012,53,150301,
iperf3.asm,VALID,11495,58,171466,
ipset-dns.asm,VALID,874,43,13362,
ipset.asm,VALID,7301,48,108520,
iptables-restore.asm,VALID,8654,47,132873,
iptables-save.asm,VALID,8654,47,132873,
iptables.asm,VALID,8654,47,132873,
iptaccount.asm,VALID,560,30,8294,
iputils-ping6_20101006-1_mipsel_mips32_ping6.asm,VALID,3789,61,58543,
iputils-ping_20101006-1_mipsel_mips32_ping.asm,VALID,4173,60,64348,
iputils-traceroute6_20101006-1_mipsel_mips32_traceroute6.asm,VALID,1545,45,23775,
iw.asm,VALID,5477,56,82676,
iwcap.asm,VALID,1077,42,16189,
iwconfig.asm,VALID,4911,50,74937,
iwlist.asm,VALID,4911,50,74937,
iwpan.asm,VALID,1470,38,22058,
iwpriv.asm,VALID,4911,50,74937,
jshn.asm,VALID,858,28,12440,
jsonfilter.asm,VALID,1752,45,25744,
kexec-tools_2.0.14-rc1-1_mipsel_mips32_kexec.asm,VALID,13320,52,201690,
kexec.asm,VALID,13320,52,201690,
kill.asm,VALID,62756,70,944931,
kill_router6.asm,VALID,6502,52,99851,
killall.asm,VALID,62756,70,944931,
kmodloader.asm,VALID,2056,41,30323,
ld.asm,VALID,32038,57,492370,
ld.bfd.asm,VALID,32038,57,492370,
lecs.asm,VALID,2780,49,42121,
les.asm,VALID,5134,47,79784,
less.asm,VALID,62756,70,944931,
lldpcli.asm,VALID,9847,45,145788,
lldpctl.asm,VALID,9847,45,145788,
lldpd.asm,VALID,20497,52,320149,
ln.asm,VALID,62756,70,944931,
lock.asm,VALID,62756,70,944931,
logd.asm,VALID,1040,44,15526,
logger.asm,VALID,62756,70,944931,
logger_2.29.2-1_mipsel_mips32_logger.asm,VALID,3058,51,45938,
login.asm,VALID,62756,70,944931,
logread.asm,VALID,1148,35,17371,
look.asm,VALID,727,32,10981,
losetup.asm,VALID,9747,51,149518,
ls.asm,VALID,62756,70,944931,
lsattr.asm,VALID,451,32,7028,
lsblk.asm,VALID,7269,51,112238,
lsmod.asm,VALID,2056,41,30323,
lsusb.asm,VALID,10230,56,155456,
lua.asm,VALID,744,29,11242,
luac.asm,VALID,869,35,13556,
maccalc.asm,VALID,301,26,4397,
mapcalc.asm,VALID,1300,49,19756,
massif-mips32-linux.asm,VALID,241189,106,3094133,
mcookie.asm,VALID,2964,51,45184,
md5sum.asm,VALID,62756,70,944931,
mdadm.asm,VALID,54248,61,820819,
mdns.asm,VALID,3605,48,54608,
memcheck-mips32-linux.asm,VALID,273759,131,3556567,
meshd-nl80211.asm,VALID,10145,54,155243,
meshd.asm,VALID,8668,53,133591,
mkdir.asm,VALID,62756,70,944931,
mke2fs.asm,VALID,19482,64,297484,
mkfifo.asm,VALID,62756,70,944931,
mkfs.ext2.asm,VALID,19482,64,297484,
mkfs.ext3.asm,VALID,19482,64,297484,
mkfs.ext4.asm,VALID,19482,64,297484,
mkfs.f2fs.asm,VALID,3343,58,52019,
mkfs.xfs.asm,VALID,59614,67,912664,
mknod.asm,VALID,62756,70,944931,
mkswap.asm,VALID,62756,70,944931,
mktemp.asm,VALID,62756,70,944931,
modinfo.asm,VALID,2056,41,30323,
modprobe.asm,VALID,2056,41,30323,
mon.asm,VALID,1372,49,20810,
mount-utils_2.29.2-1_mipsel_mips32_mount.asm,VALID,2420,38,36264,
mount-utils_2.29.2-1_mipsel_mips32_umount.asm,VALID,1766,36,26619,
mount.asm,VALID,62756,70,944931,
mount.fuse.asm,VALID,677,29,10013,
mountd.asm,VALID,1802,42,27137,
mountpoint.asm,VALID,622,32,9472,
mpcd.asm,VALID,4949,55,76701,
mtd.asm,VALID,3895,48,59574,
mv.asm,VALID,62756,70,944931,
namei.asm,VALID,2346,50,35766,
nc.asm,VALID,62756,70,944931,
ndpexhaust6.asm,VALID,5944,51,90985,
netifd.asm,VALID,20582,49,310085,
netmsg.asm,VALID,62756,70,944931,
netstat.asm,VALID,62756,70,944931,
nft.asm,VALID,25982,81,382597,
nice.asm,VALID,62756,70,944931,
nm.asm,VALID,4347,46,67158,
nmbd.asm,VALID,263321,71,3946031,
nmblookup.asm,VALID,37691,64,559052,
node_query6.asm,VALID,6192,51,95151,
none-mips32-linux.asm,VALID,241882,114,3079898,
nslookup.asm,VALID,62756,70,944931,
nstat.asm,VALID,2323,45,34949,
ntpd.asm,VALID,62756,70,944931,
objcopy.asm,VALID,29879,57,457289,
objdump.asm,VALID,36957,59,572077,
odhcp6c.asm,VALID,6907,61,107999,
odhcpd.asm,VALID,9660,58,146622,
omcproxy.asm,VALID,4457,58,67768,
openssl.asm,VALID,22167,55,334651,
openvpn-mbedtls_2.4.4-4_mipsel_mips32_openvpn.asm,VALID,71530,63,1077102,
openvpn-openssl_2.4.4-4_mipsel_mips32_openvpn.asm,VALID,73089,63,1100158,
openvpn.asm,VALID,33799,62,510856,
owipcalc.asm,VALID,926,33,13794,
parasite6.asm,VALID,6404,53,98405,
parse.f2fs.asm,VALID,728,29,10926,
partx.asm,VALID,9572,51,146564,
passive_discovery6.asm,VALID,6050,51,92962,
passwd.asm,VALID,62756,70,944931,
pgrep.asm,VALID,62756,70,944931,
pidof.asm,VALID,62756,70,944931,
ping.asm,VALID,62756,70,944931,
ping6.asm,VALID,62756,70,944931,
pivot_root.asm,VALID,62756,70,944931,
poweroff.asm,VALID,62756,70,944931,
ppp-multilink_2.4.7-12_mipsel_mips32_pppd.asm,VALID,28337,55,430651,
